,Unnamed: 0,c_arm_lateral_m,c_arm_vertical_m,c_arm_wigwag_deg,c_arm_horizontal_m,c_arm_tilt_deg,c_arm_orbital_deg,table_vertical_m,table_trend_deg,table_tilt_deg,table_longitudinal_m,table_transverse_m,quat_w,quat_x,quat_y,quat_z,Tx_m,Ty_m,Tz_m
747,747,0.18,0.09,-4,0.14,11,20,0.24,-18,-17,0.51,0.02,0.9168819791874331,-0.028272273435186686,0.2510535909566892,0.30903108138809066,0.14983996429329244,0.1601762126828572,-0.5399134372299865
748,748,-0.17,0.11,0,0.11,201,-56,0.16,17,-10,0.35,-0.13,0.032125156097699635,0.5443072556305502,-0.838159672495552,-0.01363631973027597,0.06884174253011943,-0.06468870974297669,0.25034753314092173
749,749,0.45,0.3,-1,0.14,-62,-61,0.36,2,-1,0.03,0.04,0.7365848638876077,0.2664402480408303,-0.4581045191297417,-0.42022920182743523,0.25134691372918816,0.1108928662242945,-0.14635921585510453
750,750,0.35,0.26,2,0.13,103,69,0.14,15,5,0.35,0.0,0.6020144396753919,0.4251708294940995,0.5492848395921924,0.3938204478741587,0.3871407033903247,0.011594052318470993,-0.15958177578790128
751,751,0.19,0.41,3,0.03,-6,20,0.25,-22,13,0.47,0.0,0.9884689187644154,0.06386717904890814,0.12618237458168424,0.05411273807496596,0.5102336255605397,-0.18921918542488836,-0.4645738120063039
752,752,0.5,0.24,9,0.03,4,70,0.01,6,9,0.52,0.09,0.8553715906191981,0.04924371574333829,-0.0631414066004284,0.5117886880284592,0.5042852633604618,-0.07034195344408944,-0.36452037858445574
753,753,0.42,0.29,8,0.11,-65,51,0.04,-24,12,0.26,0.03,0.8971160618696515,-0.1401149979253062,-0.32386981040017054,0.26581742757621557,0.5749719959142283,-0.09370625803979404,-0.3920201328371076
754,754,-0.23,0.4,1,0.1,185,-63,0.35,-9,10,0.57,-0.09,0.09277419746483932,0.4425825052887547,-0.888365724522536,-0.07949851439262279,0.4530914929202037,-0.1623867367945302,-0.042136128543721535
755,755,-0.14,0.38,-10,0.12,45,-26,0.28,12,13,0.25,-0.02,0.8865018762037007,-0.10813070498252064,0.272445154030056,-0.358044427652269,0.338249901644027,-0.10025310156081257,0.05907191817480337
756,756,0.16,0.0,-5,0.15,218,-80,0.17,-12,-2,0.2,-0.04,0.354870490567093,0.5866201056069551,-0.6897855540939092,-0.23267934155337935,0.1522015502047478,0.03757021953428752,-0.20580782932562547
757,757,0.28,0.44,-10,0.09,119,28,0.31,0,-4,0.06,-0.12,0.5067199109672323,0.1351928385873914,0.8487903349894083,0.06717734329825464,0.43932324958091673,-0.0914648682672492,-0.2661006029624218
758,758,0.21,0.26,9,0.07,223,-78,0.25,24,-9,0.07,0.09,0.09854309651090175,0.7082332984321414,-0.6834120426085869,-0.1471150336965306,0.1077771557962327,0.09827609929120773,0.4487717209805429
759,759,-0.49,0.11,4,0.14,-60,-40,0.3,-17,6,0.54,-0.11,0.847443349875512,0.13320851148208512,-0.342287918629326,-0.3833200255411939,0.40766090793136445,-0.10201623505391022,0.30619130319500804
760,760,0.13,0.1,-2,0.03,-76,26,0.24,-9,-18,0.48,-0.11,0.7686308493727194,-0.05133123363971141,-0.5496110617071496,0.32326367363924013,0.20004347285874202,-0.06080576537887228,-0.3583002729689646
761,761,0.09,0.44,9,0.12,-14,63,0.15,17,15,0.1,0.08,0.8767711261907007,-0.10670684590593613,-0.2564019955586181,0.39261184137600275,0.39397218022637315,-0.026420490898967586,0.5934650770248325
762,762,0.09,0.09,1,0.05,80,11,0.36,9,-7,0.31,-0.07,0.8031049550997402,0.026485882957652647,0.5801098876063013,0.13339208147263507,-0.01201224390920208,-0.08462205255843624,-0.005197612444006003
763,763,0.17,0.4,6,0.13,102,-97,0.24,8,20,0.42,-0.01,0.39240843482818377,-0.43116158361745044,0.5902660305627059,-0.5583021782618568,0.3938073899744374,-0.14070379255882304,0.005813590883813058
764,764,0.4,0.12,6,0.05,34,-63,0.19,28,19,0.1,-0.02,0.7703264689859713,0.02201556347669442,0.06526365463755411,-0.6339188445911346,0.10102379051570543,-0.12463888076761309,0.15267471481565636
765,765,0.45,0.19,5,0.1,152,-87,0.27,12,-16,0.35,0.13,0.3032622876252231,-0.7309320959218106,0.5891665828728445,-0.16325744602192271,0.1871945902894231,0.23202536076731595,-0.24389461799118212
766,766,-0.28,0.09,7,0.08,-56,98,0.16,15,-9,0.69,0.08,0.5005374068356901,-0.3654754851419185,-0.45349382480535605,0.6404945940301846,0.002378530830753345,0.0893536051553474,0.19082050142792562
767,767,-0.24,0.26,8,0.02,-81,53,0.17,-26,7,0.4,0.11,0.8364187727142004,-0.19437814140550713,-0.4196582970080009,0.2941218940292543,0.7080511726295997,-0.059532874733302155,0.09617630127634721
768,768,0.42,0.07,6,0.06,130,-98,0.28,4,8,0.24,0.07,0.3113185333200206,-0.6147134821783037,0.6436331415387417,-0.3330833000206787,0.08441166831288949,0.020305387450299195,-0.13333278200492696
769,769,0.06,0.06,-3,0.07,-16,-66,0.26,4,-1,0.43,-0.09,0.8317639948029815,0.07410100195434674,-0.15912201123312886,-0.5266477798300033,0.09159861555017557,-0.09380835683322775,-0.2081466642037468
770,770,-0.03,0.31,0,0.09,15,86,0.18,26,7,0.42,-0.11,0.7680721768707947,-0.06952405244855688,-0.06597586230810736,0.6331498423286471,0.19646455964539777,-0.13128861919826829,0.15320186959476068
771,771,0.03,0.08,4,0.14,-55,87,0.21,10,11,0.22,-0.1,0.6724191132121217,-0.3841048732752719,-0.37661957438778276,0.5084030671634236,0.09975040278840908,-0.07668069073285655,0.2556629755949326
772,772,-0.01,0.42,3,0.05,162,-57,0.36,-24,-5,0.66,-0.05,0.036310086996452176,0.506114915621426,-0.8605308169423046,-0.044899697776672735,0.5290931660166527,-0.022189310918708127,-0.45250512345427263
773,773,0.31,0.35,5,0.06,211,-31,0.17,28,-20,0.23,0.06,0.02239291009277287,0.4493407831386697,-0.8921701841155273,-0.040296163107298485,0.2969976461062351,0.1822154092814452,0.19650166247267792
774,774,0.43,0.22,0,0.15,100,17,0.1,13,-8,0.02,0.01,0.7081801020864297,0.05400767754905636,0.6862326082636159,0.1569997488224938,0.4076352790042108,0.15708055957005373,0.019992949733122795
775,775,0.25,0.05,5,0.1,188,91,0.09,-2,-15,0.6,-0.1,0.08718996316558654,-0.6109360339593833,-0.7856704475758722,0.043324595082832235,0.26203760423456884,0.01658632676148275,-0.3736399736218447
776,776,0.04,0.07,5,0.14,160,-80,0.08,26,-17,0.67,0.12,0.35559579865353397,-0.6902738737871018,0.6076546751027366,-0.16682147035885794,0.015790069808986784,0.2168446956075054,-0.09261619674208199
777,777,0.13,0.36,-3,0.13,-27,-10,0.22,-27,-18,0.54,-0.03,0.996393218052372,-0.022631014243785132,-0.005642545583718535,0.08158770675090381,0.4295077896491761,0.19752911049316224,-0.6751326732413641
778,778,-0.25,0.42,-8,0.1,38,-71,0.01,9,10,0.33,0.07,0.7163273199730078,-0.18188707611937097,0.18274151957740173,-0.6483809059677624,0.6334049929759531,-0.04974472013018105,0.17033822875725094
779,779,-0.15,0.37,2,0.12,252,-14,0.04,20,-13,0.19,-0.1,0.43818189564640336,0.22199468339852663,-0.8708964646151625,-0.01594787732971635,0.3655183301840744,0.05264423672798402,0.5830534325503226
780,780,0.15,0.46,0,0.04,165,-100,0.08,-1,-5,0.39,0.03,0.0823337350130679,-0.7874398047978536,0.6042238136302774,-0.08985150494454563,0.6942709082766962,0.06435600436059596,-0.2038254691276396
781,781,-0.32,0.32,-2,0.08,-39,36,0.14,22,-15,0.55,-0.06,0.7764647949430604,-0.109449108064132,-0.495818066034198,0.37321275480897603,0.18677964462967434,0.02102230817980022,0.23746420920338973
782,782,-0.24,0.1,3,0.08,-33,16,0.27,-28,-15,0.03,0.12,0.9659338698242632,0.022173447480586046,-0.04379960522202259,0.25408992883533177,0.43167518066542776,0.2653965918271548,0.4454249369536288
783,783,0.21,0.14,2,0.03,-74,-13,0.12,-18,10,0.26,-0.03,0.8625874745743343,0.024406766915433337,-0.4689218531245155,-0.1883068084230579,0.3688362663399135,-0.1593090936328938,-0.2113937223039536
784,784,-0.19,0.13,-3,0.0,124,75,0.34,-15,-4,0.12,0.07,0.28369152507875334,0.5313665227434596,0.7711253386098874,0.20623881608417396,0.2301521412756513,0.015842626964846174,0.2723034533611719
785,785,-0.38,0.09,2,0.07,166,-98,0.14,19,9,0.29,0.08,0.18292895254382188,-0.6724862505314468,0.6832408720451016,-0.21790170245875906,-0.033171494534872226,0.06338475420263734,0.5665160815739252
786,786,0.36,0.38,-6,0.11,228,-46,0.29,-28,-18,0.47,0.13,0.6090238799051284,0.40930269910613626,-0.6721711064271387,-0.09872799954547651,0.25449530245989216,0.27271004611803806,-0.868009870335254
787,787,-0.15,0.1,-9,0.0,81,35,0.29,-5,4,0.22,0.12,0.7154909227679579,0.1686736150086312,0.6615363135986289,0.14829584224418718,0.13952647664301376,0.009554947240486777,0.024974049810850135
788,788,0.06,0.09,6,0.03,270,-4,0.3,-30,-19,0.46,0.13,0.8633557364859381,0.12519000202722078,-0.4840738201890541,0.06794757005826879,0.31749379637535835,0.21729725851119763,-0.1770491797341318
789,789,0.01,0.44,1,0.11,113,82,0.25,-2,-17,0.15,0.12,0.34346623302759094,0.4573053237950649,0.7086263011653942,0.41322094924529107,0.4772258485587527,0.33281844529678617,0.1969039764452309
790,790,0.34,0.07,-2,0.04,46,-49,0.15,4,1,0.6,0.13,0.8428652356137494,-0.1601889552063391,0.32090209416490184,-0.40117270493424745,0.22808254161392483,0.08832969149719427,-0.6207408526773068
791,791,0.28,0.28,9,0.15,217,54,0.21,-15,8,0.55,-0.06,0.43237200860558744,-0.4486537530117127,-0.7757524096110368,0.09986218035645529,0.4636544787692143,-0.08399327337033413,-0.35900030833003854
792,792,-0.48,0.02,-5,0.14,-77,-20,0.0,-9,-18,0.07,0.03,0.8286415465318757,0.15171894759292923,-0.5386100613061302,0.015288890161221487,0.39542077709129,0.25275515774754687,0.5407232629587301
793,793,0.37,0.11,7,0.07,-74,-72,0.34,21,11,0.0,-0.02,0.48699379508751045,0.4205732036206417,-0.6063456933369193,-0.46722598826938616,-0.016091974766148764,-0.05332522544099483,0.22114012654127688
794,794,-0.29,0.34,-10,0.11,64,6,0.23,-27,14,0.68,0.0,0.69461210038344,0.04198715123811628,0.7140940162280682,-0.07629446322689981,0.5329055902762749,-0.14693792264735261,-0.6003824437350607
795,795,-0.18,0.02,-10,0.05,178,-75,0.19,-11,-15,0.03,0.03,0.11098675556759578,0.7092210817120268,-0.6952680120486191,0.03591362924800027,0.1974191909368428,0.05943266188214302,0.17934006879563164
796,796,0.3,0.2,-4,0.06,238,-52,0.01,-10,-16,0.28,0.08,0.5413522471826533,0.4515414107413817,-0.6948222997669894,-0.14237299815093493,0.47170452594114487,0.22437591737406715,-0.4428750219140205
797,797,0.14,0.31,3,0.08,5,-41,0.15,-19,-13,0.58,-0.13,0.9479954350156838,-0.07120760792282059,0.19698269586495437,-0.23964963862503333,0.5332044867059743,0.019096005637746938,-0.4915533034800512
798,798,0.28,0.22,0,0.02,-46,45,0.16,18,-18,0.65,0.04,0.7230798680869901,-0.12370719545317424,-0.5152775527796367,0.4431039130518256,0.3068478158761916,0.11436244505029869,-0.44063520724349203
799,799,-0.33,0.45,7,0.08,267,34,0.17,19,1,0.33,0.07,0.5455998386664256,-0.20233244118128071,-0.8038535031529506,0.12329616685656984,0.2518818433636375,0.05707976535385573,0.7169335515965817
800,800,-0.01,0.28,7,0.02,-7,-63,0.09,-4,10,0.55,-0.13,0.7986021048610719,0.0660412210041629,0.0037313634472619867,-0.5982134336226239,0.5188183562051814,-0.306467462388758,-0.04806247244107249
801,801,-0.33,0.35,0,0.14,251,42,0.06,-26,1,0.48,0.1,0.7015259946415463,-0.24285106052318076,-0.6165133337570182,0.26228982165681336,0.8501566148941461,0.1484248580041545,-0.18074012441422618
802,802,0.02,0.03,5,0.02,-13,68,0.03,14,13,0.49,-0.11,0.8615059790147263,-0.11829915680092278,-0.2056717413702783,0.4489007601060462,0.15314991740400385,-0.23082719271363605,0.05644194799681457
803,803,-0.46,0.06,8,0.1,-19,-6,0.35,19,6,0.08,-0.06,0.9380483075486926,0.0697564737441253,-0.32477508679589734,-0.09859285000716746,-0.3367279274517423,-0.02563804233561151,0.932759368418836
804,804,-0.19,0.06,-2,0.09,-32,39,0.27,-7,8,0.1,-0.11,0.9390884177309239,-0.1013788375036456,-0.19189793230420826,0.26647787631885816,0.16303655291581975,-0.13279806279033335,0.3561517740553005
805,805,-0.01,0.24,7,0.13,1,3,0.21,-19,-2,0.69,-0.12,0.982451886880619,0.06180715534562569,0.1727915058478089,0.03333558188542303,0.5123146686645912,-0.055741156365619826,-0.3077629141135245
806,806,-0.25,0.01,3,0.13,146,65,0.3,11,0,0.53,-0.1,0.3088588265116032,0.5006315355401437,0.776121002113337,0.2271794026472968,-0.12250805596417802,-0.04723386460199741,0.16469504236543053
807,807,0.11,0.21,10,0.03,253,50,0.0,-6,7,0.12,-0.05,0.6162028567597583,-0.32451132688830137,-0.6984899219821975,0.16461551242701955,0.5613422327387405,-0.19995925651923008,0.3178299858896444
808,808,0.3,0.27,-1,0.08,204,-14,0.05,-11,3,0.22,-0.12,0.2986730543678941,0.0904229143363814,-0.9493847629814418,-0.035870251966496125,0.5316271286872801,-0.148336284424057,-0.31911513651578743
809,809,-0.49,0.04,-7,0.14,218,70,0.13,-19,-11,0.66,-0.13,0.323053500229571,-0.44071271511097987,-0.7584951997422327,0.355096846926189,0.40749451886773386,0.02241042199231913,-0.16164704957828643
810,810,-0.37,0.28,6,0.12,152,59,0.03,2,15,0.58,-0.12,0.2205410561405147,0.5899143688278091,0.763280271552849,0.14410380656014302,0.5148073258342054,-0.24733728742617944,0.3317975813783252
811,811,-0.27,0.39,0,0.0,5,-97,0.12,-14,-13,0.09,0.12,0.7329530412252527,-0.13519908374577783,0.09466741759783946,-0.659953882599619,0.7176951287626527,0.2318069845029047,0.3455912572428442
812,812,-0.17,0.21,-4,0.01,177,-41,0.12,-26,20,0.46,0.07,0.18882521935375365,0.1870601243776759,-0.9613364282561486,-0.07201262466766419,0.49021820300666197,-0.2179077609549347,-0.31154499400008534
813,813,0.49,0.18,1,0.12,244,57,0.04,-29,-19,0.68,-0.04,0.5767049716573301,-0.2216166414908636,-0.6516815853173592,0.4400097172089286,0.31196732628130824,0.1491837041039481,-1.0506330500702075
814,814,-0.41,0.4,7,0.12,71,-19,0.22,-6,16,0.46,-0.06,0.75485806149429,0.03520503342503029,0.6224883929203554,-0.2036126550538014,0.5743384265181328,-0.21911181853145445,0.43023773217904426
815,815,-0.15,0.02,2,0.03,58,83,0.23,4,16,0.4,0.1,0.7379233752522091,0.35488000997551605,0.283422944457478,0.49920006543591156,0.03866316523418489,0.012455908241763902,0.16587768145397552
816,816,0.19,0.03,-3,0.12,254,87,0.0,-7,-8,0.14,0.0,0.42251666766319956,-0.4946603810208253,-0.5773567979257634,0.4934064256614687,0.341627823317576,0.10526700855627791,-0.11934009743964191
817,817,0.34,0.38,-1,0.09,189,-14,0.15,-25,8,0.39,0.1,0.28863798176419614,0.05126005272299144,-0.9548942483122578,-0.04730218830134494,0.4899430668509396,0.03199178305414874,-0.6812466352023634
818,818,0.04,0.16,-9,0.12,101,41,0.32,5,-17,0.42,-0.06,0.6138090087802548,0.10784616012741419,0.7344816671361605,0.2685970720742493,0.12195817838789569,0.03405934753433382,-0.3420404374351536
819,819,0.49,0.1,-1,0.1,72,-61,0.06,28,-13,0.54,-0.08,0.8442733471474841,-0.22991508474696773,0.2957869698039139,-0.38321226180329493,0.3355169869236724,0.04595452724896543,-0.4828584050809858
820,820,0.3,0.31,0,0.11,230,-75,0.2,20,1,0.18,-0.11,0.20395219077900933,0.5813086735113171,-0.7714226649462228,-0.15934491515019597,0.35497977307643636,-0.08293636999862897,0.04181971804951243
821,821,-0.23,0.09,-7,0.11,18,76,0.1,-25,7,0.4,0.03,0.7632403289939887,0.19676072337579933,0.3143577404009397,0.5290828186435422,0.44458506578039647,-0.013694614540410432,-0.2258997290939576
822,822,0.17,0.41,-5,0.13,66,-23,0.16,-1,14,0.15,-0.09,0.7826044228626934,-0.0799380728762768,0.54682547513523,-0.28656957543275163,0.5535919023799307,-0.20266755004955983,-0.12359584936004053
823,823,-0.13,0.25,1,0.0,98,95,0.02,-16,7,0.64,0.13,0.38778861270117343,0.6558893315477253,0.5226541098029541,0.38244196700579103,0.6536146780552763,-0.03832566195238729,-0.33177470456216607
824,824,-0.18,0.34,6,0.02,78,95,0.35,5,-6,0.14,0.08,0.4838560445159003,0.4443029335591798,0.3962024290945713,0.6414841125045073,0.23886928807469254,0.051941054830402233,0.5809338946847105
825,825,-0.04,0.25,5,0.12,58,42,0.32,7,-13,0.07,0.03,0.7890190741276291,0.14330520328490617,0.40719056868653114,0.437159421889761,0.15106624050076578,0.127820147127637,0.49829576016751254
826,826,0.3,0.15,1,0.07,79,-87,0.36,12,2,0.49,0.04,0.599109393337396,-0.36835946035639516,0.411047389920742,-0.5800166256411863,0.06885562820188307,0.028861118854925927,-0.37380140840075515
827,827,-0.46,0.44,10,0.1,188,-3,0.13,16,1,0.09,0.01,0.07242392054229381,-0.03546158132143428,0.9933004124096025,0.08277404599498696,0.27843245585903587,0.004086948448424277,1.1522181068633495
828,828,-0.46,0.12,10,0.13,-22,26,0.22,5,11,0.38,0.02,0.9620641509211412,0.007952563598902045,-0.24789049385942583,0.11366454723755876,0.11112316315812443,0.00976437637710581,0.7357151848350985
829,829,-0.24,0.28,7,0.1,60,17,0.19,6,-19,0.39,0.08,0.8355423585125379,0.043283367069699194,0.45396825642134736,0.30644467596644087,0.2833878749441243,0.22583819806375716,0.4426810228189516
830,830,0.1,0.22,4,0.15,193,-51,0.19,-30,16,0.46,0.08,0.28638325817042976,0.27469179889559636,-0.8883656362296852,-0.23094488828596502,0.4853638222034695,-0.014009206201751834,-0.3705144394733892
831,831,0.09,0.01,-8,0.04,155,80,0.19,2,-9,0.31,-0.04,0.21401083089026063,0.5519605374388783,0.7977690462496665,0.11447042507889203,0.13155180647592346,-0.05393606727890887,-0.2563579786606596
832,832,0.49,0.31,-1,0.0,-81,11,0.04,6,-4,0.53,0.07,0.7184479044715035,-0.04893175429416627,-0.6866218412661206,0.09994367953263933,0.5919895827890854,0.042976468229724674,-0.6244627965858565
833,833,0.4,0.24,5,0.09,-81,98,0.07,-30,0,0.28,-0.05,0.6187158393955143,-0.3083928193880552,-0.3008179472465755,0.6569574884612756,0.4715835419511591,-0.04105042721651264,-0.49998825443762596
834,834,0.18,0.06,-5,0.03,125,-83,0.14,13,7,0.28,0.09,0.3662378040021416,-0.5222387200748301,0.6430448433513342,-0.42382770038489703,0.1936046364017967,0.002746109434014432,-0.17133532481630764
835,835,-0.27,0.05,10,0.12,-45,-47,0.23,-28,-16,0.21,-0.11,0.9355649464614473,0.1366729232800348,-0.08894202808693444,-0.31325398422759426,0.5189031889171789,0.08867783884251201,0.4719784745720752
836,836,-0.06,0.4,-1,0.04,64,33,0.23,20,12,0.55,-0.04,0.9126874702914748,0.1373588460062994,0.34855991886080767,0.16321798908365792,0.28088627033798197,-0.15698158628407133,0.005374433917622601
837,837,-0.26,0.36,5,0.08,-58,-61,0.28,4,3,0.53,0.05,0.715733352974303,0.28344999254463377,-0.4311915069635357,-0.4705908557219572,0.3325146193785429,0.026319101905612152,0.24994359362931032
838,838,0.24,0.22,7,0.07,136,86,0.25,-5,7,0.64,-0.01,0.22175785775451515,0.699919284935766,0.6292974274038211,0.2547963794131831,0.3040893810703045,-0.07644391179638932,-0.3731212285568274
839,839,-0.19,0.05,-4,0.12,9,-6,0.19,27,-10,0.54,-0.09,0.9868617359503927,-0.01111017038630111,-0.15943703653531174,0.023670859971749423,-0.08347305194170862,-0.04539877757698085,-0.04241736439465904
840,840,0.26,0.13,-5,0.09,201,31,0.08,-17,-19,0.27,-0.11,0.2763609971820944,-0.10025349138349342,-0.9392848084934939,0.1769685995742708,0.31341330642750254,0.04181487175200771,-0.45313076693870674
841,841,0.4,0.33,-7,0.03,253,-25,0.17,26,-3,0.43,-0.05,0.3982580101268235,0.17640035215988858,-0.8993901975199883,-0.03702358346576684,0.49618919589576194,-0.07523684394698549,-0.3977176774288331
842,842,0.16,0.23,10,0.13,127,20,0.22,-17,18,0.09,-0.06,0.30654821202805593,0.3557223927866267,0.8795444083931256,0.07675549906648736,0.4367729562239173,-0.2026154274543035,0.23739576534360557
843,843,0.28,0.03,-7,0.04,206,-4,0.03,-28,7,0.39,0.04,0.4569078842029109,-0.022215249254571773,-0.8890677512953479,0.017326328532326987,0.22210936599326803,-0.046378033952022335,-0.6922401510908034
844,844,0.28,0.44,-8,0.09,42,-42,0.24,-9,19,0.42,0.03,0.7657440739409106,-0.15116220022487944,0.4075063072806226,-0.4740512756802384,0.45452986964573516,-0.1614410131293762,-0.665463253962259
845,845,-0.17,0.31,2,0.05,212,55,0.34,2,-13,0.28,0.01,0.22387086122495053,-0.34134045843210165,-0.9034607056690693,0.13087124299749295,0.2546489102161009,0.06525049529646054,0.3069758478788721
846,846,0.21,0.0,-7,0.14,145,88,0.33,16,0,0.51,-0.1,0.3509324242135265,0.6185709561369869,0.6550538260608878,0.25518795195381716,-0.020379716865395192,-0.04722431220674439,-0.5474325411795733
847,847,-0.33,0.46,-4,0.13,227,-97,0.08,28,-4,0.58,0.03,0.13362596463502194,0.7470648308855398,-0.6433661475202593,-0.1005894639326583,0.30364073716961015,0.1093793150040292,0.28504047446274405
848,848,0.1,0.05,-6,0.0,200,2,0.14,-28,-15,0.45,-0.03,0.3940007935568115,0.10690185737808114,-0.9060158421222878,0.11167211553991781,0.25939487792229116,-0.01985317241557527,-0.5237863442396551
849,849,0.06,0.1,2,0.12,-78,-47,0.34,7,-5,0.18,-0.04,0.684570919192883,0.30888446048328777,-0.6008954765679357,-0.273637849917647,0.016112934139664192,0.014339826443841241,0.18429923882530994
850,850,0.39,0.12,10,0.03,161,-23,0.01,-22,3,0.23,-0.12,0.007044791318748112,0.14286923767762358,-0.9860242685049281,-0.08541015021653726,0.48103389106046457,-0.2187884863585643,-0.21918778646356363
851,851,0.1,0.0,0,0.0,133,16,0.05,8,-7,0.19,-0.12,0.45247887343341836,0.06959406787196558,0.884276474804433,0.09205786724067405,0.22153871635812883,-0.15608324412588814,0.10718273777297407
852,852,-0.38,0.01,-10,0.01,265,28,0.3,-22,19,0.33,0.07,0.7924988592501566,-0.2780442416502142,-0.5252539473062985,0.1369132886593188,0.15997013868558874,-0.1125223698501645,0.05513488447472109
853,853,-0.35,0.18,6,0.09,109,58,0.15,9,10,0.04,-0.06,0.5681644638870051,0.45012627095990737,0.6191362206477351,0.3020692345303627,0.1879249331812698,-0.10438208503653623,0.8837514712701119
854,854,-0.25,0.25,-5,0.14,251,-42,0.0,27,5,0.57,0.11,0.3546207389656714,0.2627009555886716,-0.8888791710576086,-0.12298844940960252,0.2616212417627186,0.1373459967248225,0.13143158758663032
855,855,-0.25,0.29,-8,0.02,-73,91,0.26,13,10,0.47,-0.11,0.5321194205116483,-0.5633908339215481,-0.3861330587896491,0.5003408353085721,0.2129573126020512,-0.23605201574591295,0.006197730376371613
856,856,-0.43,0.28,-5,0.03,61,15,0.01,13,4,0.23,-0.07,0.910990213626179,0.032708778399176526,0.4065262777097389,0.06134616552341693,0.4010816876063037,-0.15598526024244475,0.5517632954354892
857,857,0.5,0.09,10,0.07,176,-88,0.01,26,18,0.24,-0.07,0.2234952901058566,-0.5655466132579432,0.7786905743851489,-0.15442756521002485,0.2379670470506352,-0.2101487572551084,0.07995856310663083
858,858,-0.04,0.08,9,0.05,140,-36,0.21,-18,11,0.2,-0.12,0.20180680364167095,-0.17467197761071443,0.9636372700305071,-0.01291998644137993,0.36001291171836836,-0.25432561004559107,0.3125460304436496
859,859,-0.28,0.01,-4,0.09,75,-14,0.13,-15,17,0.57,0.03,0.6763113014584619,-0.011714871835138127,0.707225038792751,-0.2056660638074247,0.3119865308828209,-0.08432167500566856,-0.14536148578548322
860,860,0.04,0.26,-10,0.15,-65,-49,0.02,-13,7,0.29,0.05,0.816318189852394,0.09326640882902217,-0.4319706252275155,-0.37192387506154756,0.5511112952487209,0.02036137119928294,-0.41462096885200156
861,861,0.11,0.45,6,0.09,114,58,0.09,18,-14,0.02,-0.01,0.5124933846464577,0.29774234926828363,0.6801133572816046,0.43144622537804844,0.47225290451071517,0.1391610453508274,0.6018153090199815
862,862,-0.21,0.05,-5,0.0,55,-63,0.23,-4,-17,0.57,-0.07,0.7930667138158023,-0.3463818387364952,0.3515526158373146,-0.3570372074852568,0.17498214114279648,-0.07032516388861998,-0.1579450710597
863,863,0.26,0.34,-8,0.15,196,76,0.26,29,16,0.22,0.13,0.13002133522822987,0.7315184284127322,0.6693092088233764,0.0006513541742444089,0.3699813286645599,0.056552679387535054,-0.11084034764043976
864,864,-0.41,0.43,-10,0.08,187,-77,0.12,26,-16,0.15,0.02,0.09925539994599011,-0.6956646527796988,0.6942863372824949,-0.155452688356684,0.3015898045690448,0.11538443049431346,0.5970535603903939
865,865,0.15,0.26,4,0.06,148,-21,0.35,25,6,0.25,-0.06,0.47182411447741357,-0.11252643792272364,0.8710460331187597,-0.07745071951957785,0.035651390513113945,-0.09316117336662333,0.16043928666479335
866,866,-0.4,0.1,0,0.04,1,40,0.04,9,13,0.7,-0.03,0.9700012761427292,-0.0311251860348805,-0.06242746529780718,0.2328767026824754,0.22250242404833576,-0.14037619529345235,0.11367488922599778
867,867,0.27,0.16,10,0.11,85,-16,0.34,-19,2,0.55,0.09,0.6131934234585463,-0.023118795880927863,0.7880688076967466,-0.04906017773746861,0.2509675235904951,0.08829085423911454,-0.28762128059078074
868,868,-0.43,0.26,5,0.08,-46,79,0.29,10,10,0.6,0.04,0.7346023275707841,-0.2991549382560939,-0.36360897144516446,0.48852252673665775,0.1028783128787103,0.003199082373650075,0.36899073421546014
869,869,-0.12,0.1,-6,0.04,18,78,0.31,-7,-17,0.05,-0.07,0.6623704113045921,0.06481427845087637,0.2126753208934207,0.7154255764368216,0.14437728884020606,-0.040707327290776085,0.23197616807883484
870,870,0.5,0.42,0,0.03,217,78,0.36,-19,-10,0.08,-0.08,0.33770958023907727,-0.49373802806329015,-0.731996729077082,0.3261223507816857,0.31339432953423074,-0.052801622458844566,-0.3775688794401839
871,871,0.06,0.0,-4,0.12,-51,41,0.12,10,-15,0.38,-0.13,0.7545720403119507,-0.1459533008868482,-0.4868754208785303,0.4150554113417229,0.12716329251621872,-0.026629795906663478,-0.1560960659022496
872,872,-0.21,0.12,7,0.0,12,-48,0.1,-12,-9,0.62,-0.04,0.9203227177138518,-0.04537134255004717,0.21150539442549002,-0.3259033670644017,0.4917106321052457,-0.03353726851407424,0.016077307863976903
873,873,0.15,0.23,3,0.15,119,15,0.03,2,9,0.48,0.01,0.520411313269425,0.1898215763659919,0.8310421252980247,0.05008812381457979,0.5019076426415978,-0.01168736951048821,-0.17256187192635034
874,874,0.29,0.32,7,0.06,109,-66,0.15,-9,-4,0.12,0.01,0.4647365750675558,-0.4585893916358773,0.7233485480848976,-0.2246832518390827,0.5201553944850621,0.02667246177799254,0.03568927066546396
875,875,-0.25,0.38,-3,0.08,230,-66,0.02,20,2,0.56,0.09,0.22648790277077704,0.49895429881304043,-0.8268273178112253,-0.12690320766464963,0.4293084953760531,0.07435253459851343,0.18645176532181146
876,876,0.25,0.1,0,0.14,-18,-20,0.04,1,13,0.37,-0.12,0.9456700989702446,0.010075915291519055,-0.16473975880575922,-0.2801202450971125,0.36995523747781833,-0.16178794528598406,-0.26182021942777983
